# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7915890761638
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    29.40%     0.26%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    27.42%     0.27%  java             [kernel.kallsyms]     [k] exc_page_fault
    25.22%     0.36%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    20.83%     0.87%  java             [kernel.kallsyms]     [k] handle_mm_fault
    18.47%     3.77%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    18.12%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    18.10%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    14.66%     0.16%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    13.33%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
    12.62%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
    11.82%     0.34%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
    10.88%     1.36%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     9.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     9.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     9.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     9.08%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     9.07%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     9.07%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     9.06%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     8.09%     0.20%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     7.96%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
