# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 6909765094432
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    69.90%     0.02%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    69.90%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    69.73%     0.25%  swapper          [kernel.kallsyms]  [k] do_idle
    68.30%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    66.54%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    66.52%     0.13%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    60.84%    58.30%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     3.94%     3.57%  swapper          [kernel.kallsyms]  [k] poll_idle
     3.81%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     3.81%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.72%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.72%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.72%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.72%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.68%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.63%     0.03%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     3.63%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.21%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.11%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     3.02%     3.02%  swapper          [unknown]          [.] 0000000000000000
     2.96%     0.28%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     2.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     2.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     2.66%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     2.64%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     2.61%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     2.59%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     2.57%     0.07%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     2.54%     0.12%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
