# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 740685313110
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
    78.71%     0.00%  postgres    [kernel.kallsyms]  [k] do_syscall_64
    78.71%     0.00%  postgres    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    75.15%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_exit_group
    75.15%     0.00%  postgres    [kernel.kallsyms]  [k] do_exit
    75.15%     0.00%  postgres    [kernel.kallsyms]  [k] do_group_exit
    75.15%     0.00%  postgres    [kernel.kallsyms]  [k] exit_mmap
    75.15%     0.00%  postgres    [kernel.kallsyms]  [k] mmput
    74.02%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_single_vma
    74.02%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_vmas
    73.72%    58.30%  postgres    [kernel.kallsyms]  [k] unmap_page_range
    17.41%     0.00%  swapper     [kernel.kallsyms]  [k] cpu_startup_entry
    17.41%     0.00%  swapper     [kernel.kallsyms]  [k] do_idle
    17.41%     0.00%  swapper     [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    17.31%     0.00%  swapper     [kernel.kallsyms]  [k] start_secondary
    16.15%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter
    16.15%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter_state
    16.15%    16.07%  swapper     [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     9.99%     5.02%  postgres    [kernel.kallsyms]  [k] page_remove_rmap
     2.92%     2.89%  postgres    [kernel.kallsyms]  [k] lock_page_memcg
     2.75%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_flush_mmu
     2.48%     0.00%  postgres    [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compact_zone
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] kcompactd
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] kthread
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_pages
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] proactive_compact_node
     2.33%     0.00%  kcompactd0  [kernel.kallsyms]  [k] ret_from_fork
     2.24%     1.45%  postgres    [kernel.kallsyms]  [k] release_pages
     2.14%     2.12%  postgres    [kernel.kallsyms]  [k] PageHuge
     2.02%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_futex
     2.02%     0.00%  postgres    [kernel.kallsyms]  [k] do_futex
     2.00%     1.97%  postgres    [kernel.kallsyms]  [k] internal_get_user_pages_fast
     2.00%     0.00%  postgres    [kernel.kallsyms]  [k] futex_wake
     2.00%     0.00%  postgres    [kernel.kallsyms]  [k] get_futex_key
     2.00%     0.00%  postgres    [kernel.kallsyms]  [k] get_user_pages_fast
     1.79%     0.00%  kcompactd0  [kernel.kallsyms]  [k] rmap_walk
     1.76%     0.03%  kcompactd0  [kernel.kallsyms]  [k] rmap_walk_file
     1.61%     1.27%  kcompactd0  [kernel.kallsyms]  [k] try_to_migrate_one
     1.61%     0.00%  kcompactd0  [kernel.kallsyms]  [k] try_to_migrate
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_pread64
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_file_read_iter
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_get_pages
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_read
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] generic_file_read_iter
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] new_sync_read
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] ondemand_readahead
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] page_cache_sync_ra
     1.48%     0.00%  postgres    [kernel.kallsyms]  [k] vfs_read
     1.46%     0.00%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.46%     0.00%  postgres    [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.46%     0.00%  postgres    [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.46%     0.00%  postgres    [kernel.kallsyms]  [k] workingset_refault
     1.44%     1.38%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.35%     1.35%  postgres    [kernel.kallsyms]  [k] __tlb_remove_page_size
     1.26%     1.26%  swapper     [kernel.kallsyms]  [k] psi_group_change
     1.26%     0.00%  swapper     [kernel.kallsyms]  [k] __schedule
     1.26%     0.00%  swapper     [kernel.kallsyms]  [k] psi_task_switch
     1.26%     0.00%  swapper     [kernel.kallsyms]  [k] schedule_idle
     1.19%     1.19%  postgres    [kernel.kallsyms]  [k] flush_tlb_mm_range
     1.14%     0.28%  postgres    [kernel.kallsyms]  [k] ___pte_free_tlb
     1.14%     0.00%  postgres    [kernel.kallsyms]  [k] free_pgd_range
     1.14%     0.00%  postgres    [kernel.kallsyms]  [k] free_pgtables
     1.09%     0.00%  postgres    [kernel.kallsyms]  [k] __handle_mm_fault
     1.09%     0.00%  postgres    [kernel.kallsyms]  [k] asm_exc_page_fault
     1.09%     0.00%  postgres    [kernel.kallsyms]  [k] do_user_addr_fault
     1.09%     0.00%  postgres    [kernel.kallsyms]  [k] exc_page_fault
     1.09%     0.00%  postgres    [kernel.kallsyms]  [k] handle_mm_fault
     1.04%     1.04%  postgres    [kernel.kallsyms]  [k] migrate_misplaced_page
     0.83%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_remove_page
     0.79%     0.04%  postgres    [kernel.kallsyms]  [k] free_unref_page_list
     0.76%     0.21%  postgres    [kernel.kallsyms]  [k] free_pcppages_bulk
     0.76%     0.00%  postgres    [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.74%     0.53%  postgres    [kernel.kallsyms]  [k] mark_page_accessed
     0.38%     0.38%  postgres    [kernel.kallsyms]  [k] __free_one_page
     0.37%     0.20%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock
     0.35%     0.28%  kcompactd0  [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.33%     0.33%  postgres    [kernel.kallsyms]  [k] rb_next
     0.33%     0.00%  postgres    [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.33%     0.00%  postgres    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.33%     0.00%  postgres    [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.33%     0.00%  postgres    [kernel.kallsyms]  [k] hrtimer_interrupt
     0.33%     0.00%  postgres    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.32%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_page
     0.32%     0.00%  kcompactd0  [kernel.kallsyms]  [k] move_to_new_page
     0.27%     0.27%  postgres    [kernel.kallsyms]  [k] free_swap_cache
     0.25%     0.25%  postgres    [kernel.kallsyms]  [k] vm_normal_page
     0.24%     0.07%  postgres    [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.24%     0.00%  postgres    [kernel.kallsyms]  [k] lru_add_drain
     0.22%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compaction_alloc
     0.21%     0.21%  kcompactd0  [kernel.kallsyms]  [k] copy_page
     0.21%     0.21%  postgres    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.17%     0.03%  postgres    [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.14%     0.14%  kcompactd0  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.14%     0.00%  kcompactd0  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.14%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compact_lock_irqsave
     0.14%     0.00%  kcompactd0  [kernel.kallsyms]  [k] isolate_freepages_block
     0.13%     0.07%  postgres    [kernel.kallsyms]  [k] unlock_page_memcg
     0.10%     0.00%  swapper     [kernel.kallsyms]  [k] arch_call_rest_init
     0.10%     0.00%  swapper     [kernel.kallsyms]  [k] rest_init
     0.10%     0.00%  swapper     [kernel.kallsyms]  [k] start_kernel
     0.10%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_kernel
     0.10%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_reservations
     0.10%     0.06%  postgres    [kernel.kallsyms]  [k] set_page_dirty
     0.08%     0.08%  kcompactd0  [kernel.kallsyms]  [k] clear_page_erms
     0.08%     0.00%  kcompactd0  [kernel.kallsyms]  [k] post_alloc_hook
     0.08%     0.00%  kcompactd0  [kernel.kallsyms]  [k] split_map_pages
     0.08%     0.08%  swapper     [unknown]          [.] 0000000000000000
     0.07%     0.04%  kcompactd0  [kernel.kallsyms]  [k] remove_migration_pte
     0.07%     0.07%  kcompactd0  [kernel.kallsyms]  [k] xas_load
     0.07%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.07%     0.03%  postgres    [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.07%     0.03%  postgres    [kernel.kallsyms]  [k] __activate_page
     0.07%     0.07%  postgres    [kernel.kallsyms]  [k] workingset_age_nonresident
     0.07%     0.00%  postgres    [kernel.kallsyms]  [k] workingset_activation
     0.07%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_state
     0.06%     0.06%  postgres    [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.05%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.05%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exc_page_fault
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_syscall_64
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_user_addr_fault
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] handle_mm_fault
     0.04%     0.04%  tclsh8.6    [kernel.kallsyms]  [k] __count_memcg_events
     0.04%     0.04%  kcompactd0  [kernel.kallsyms]  [k] PageHuge
     0.04%     0.04%  kcompactd0  [kernel.kallsyms]  [k] page_mapping
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_futex
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_futex
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait
     0.04%     0.04%  kcompactd0  [kernel.kallsyms]  [k] migrate_page_states
     0.04%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_page_copy
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_pwrite64
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_file_write_iter
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] new_sync_write
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] vfs_write
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __mod_zone_page_state
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] page_mapping
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] __cond_resched
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] check_pte
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] _find_next_bit
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] ptep_clear_flush
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __mod_node_page_state
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.03%     0.03%  tclsh8.6    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait_setup
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] try_grab_compound_head
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] try_to_wake_up
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __sys_sendto
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_common
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_common_lock
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __wake_up_sync_key
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_sendto
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] default_wake_function
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] pollwake
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] sock_def_readable
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] sock_sendmsg
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __find_get_block
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __getblk_gfp
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __read_extent_tree_block
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_find_extent
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_map_blocks
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_readahead
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] read_pages
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] file_remove_privs
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] file_modified
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] __node_distance
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] task_numa_fault
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] native_write_msr
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] ctx_resched
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] do_syscall_64
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function_call
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] generic_exec_single
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_event_for_each_child
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] remote_function
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] smp_call_function_single
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] unlock_page
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] schedule
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] futex_wait
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] futex_wait_queue_me
     0.01%     0.01%  perf        [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.01%  tclsh8.6    libtcl8.6.so       [.] TclpFree
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_sysvec_reschedule_ipi
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] balance_dirty_pages
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] generic_perform_write
     0.01%     0.00%  postgres    [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] free_pcp_prepare
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_group_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exit_mmap
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_unref_page_list
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] mmput
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] release_pages
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] tlb_flush_mmu
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_page_range
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_single_vma
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_vmas
     0.01%     0.01%  tclsh8.6    [unknown]          [.] 0000000000000000
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __schedule
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait_queue_me
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] acpi_os_read_memory
