# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 6923882347714
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    63.71%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    63.71%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    63.59%     0.11%  swapper          [kernel.kallsyms]  [k] do_idle
    62.09%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    60.58%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    60.54%     0.15%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    56.68%    55.39%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     5.46%     0.02%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     5.46%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     5.46%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     5.46%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     5.46%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     5.39%     0.02%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     4.85%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     4.85%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     4.82%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     4.79%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     4.73%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     4.45%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     4.45%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.21%     0.16%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     4.16%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     4.14%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     3.98%     0.10%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.54%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     3.54%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     3.28%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     3.12%     0.02%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     2.78%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.76%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.47%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] add_to_page_cache_lru
     2.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
