# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 7212738016472
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    70.31%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    70.31%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    70.23%     0.18%  swapper          [kernel.kallsyms]  [k] do_idle
    68.28%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    67.10%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    66.99%     0.13%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    62.22%    60.21%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.83%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     4.83%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.65%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     3.65%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     3.65%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     3.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.39%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     3.27%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     3.27%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     3.27%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.24%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     3.23%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     3.19%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     3.14%     2.84%  swapper          [kernel.kallsyms]  [k] poll_idle
     3.11%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     3.10%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.05%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     3.02%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     2.82%     0.21%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.48%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     2.47%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     2.38%     2.38%  swapper          [unknown]          [.] 0000000000000000
     2.34%     0.05%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.28%     0.08%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     2.19%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] do_futex
     2.08%     0.22%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait
     2.06%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     2.06%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     2.06%     1.87%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     2.03%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     2.03%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     2.03%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     2.03%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     2.03%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.88%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.84%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.78%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     1.78%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.56%     0.06%  Native-Transpor  [kernel.kallsyms]  [k] futex_wait_queue_me
     1.53%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pagevec
     1.51%     0.06%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.38%     0.00%  swapper          [kernel.kallsyms]  [k] schedule_idle
     1.35%     0.19%  swapper          [kernel.kallsyms]  [k] __schedule
     1.32%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.30%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_syscall_64
     1.27%     0.04%  Native-Transpor  [kernel.kallsyms]  [k] schedule
     1.25%     0.19%  NonPeriodicTask  [kernel.kallsyms]  [k] deactivate_file_page
     1.23%     0.10%  Native-Transpor  [kernel.kallsyms]  [k] __schedule
     1.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __vm_munmap
     1.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_munmap
