# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1640863714014
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
    36.33%     0.22%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    36.23%     0.06%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    36.23%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    36.17%     0.25%  swapper          [kernel.kallsyms]    [k] do_idle
    36.10%     0.22%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    29.39%     0.29%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    25.56%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    25.53%     0.38%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    15.25%     0.20%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    15.03%     0.17%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.89%    11.54%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.86%     0.23%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.71%     1.00%  mariadbd         [kernel.kallsyms]    [k] __schedule
     8.03%     0.39%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.71%     0.21%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     7.00%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.94%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.91%     0.47%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.83%     0.59%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.45%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.44%     0.30%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.18%     0.12%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     5.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     5.51%     0.03%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.40%     0.07%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.39%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.00%     0.06%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.13%     4.13%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.79%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.78%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.49%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     3.48%     0.04%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     3.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     3.31%     3.31%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.29%     0.09%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.29%     0.06%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     3.22%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.21%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     3.20%     0.46%  swapper          [kernel.kallsyms]    [k] __schedule
     3.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     2.99%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     2.97%     0.02%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.95%     0.02%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.86%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.83%     0.32%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.83%     0.01%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.78%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.78%     0.37%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.76%     0.35%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.69%     0.17%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.58%     0.18%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     2.53%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.53%     0.13%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.48%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.48%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     2.46%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     2.44%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.41%     0.09%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.38%     0.02%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.25%     0.09%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.25%     0.30%  swapper          [kernel.kallsyms]    [k] menu_select
     2.25%     0.25%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     2.18%     0.71%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     2.17%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     2.15%     0.03%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
