# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.00%     0.00%  kworker/13:3-ev  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d09974
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9d57d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9ab27
     0.00%     0.00%  mariadbd         mariadbd                  [.] delete_dynamic
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d78fbd
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] list_lru_count_one
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] get_user_pages_fast
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  kworker/8:1-eve  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d70304
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] pvclock_gtod_notify
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ea8ec8
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] mem_cgroup_calculate_protection
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] submit_bio_checks
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] submit_bio_noacct
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN5tpool9aio_linux9submit_ioEPNS_5aiocbE
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ghes_poll_func
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN18st_select_lex_unit7cleanupEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c80d3d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8613d
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] rwsem_down_write_slowpath
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __x64_sys_fallocate
     0.00%     0.00%  kworker/18:0     [kernel.kallsyms]         [k] aio_complete_rw
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN11Query_arena10free_itemsEv
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] cpumask_next_wrap
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] ksys_write
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                  [.] _Z19close_thread_tablesP3THD
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  kworker/31:1-mm  [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ext4_fallocate
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] vfs_fallocate
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] aio_complete_rw
     0.00%     0.00%  kworker/9:0      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/13:3-ev  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cd01f5
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f56c
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ghes_proc
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9173a
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] wbt_data_dir
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da17cb
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN3THD22set_examined_row_countEy
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  kworker/10:1-ev  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/10:1-ev  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/10:1-ev  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cb1551
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] switch_ldt
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] aio_complete_rw
     0.00%     0.00%  kworker/9:0      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000704570
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] bio_check_pages_dirty
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] vfs_write
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca0dd7
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] tick_nohz_get_next_hrtimer
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/14:2-ev  [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001b10c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a95307
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d4cbfb
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] blk_account_io_merge_bio
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d92111
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9fe8c
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] Tcl_DStringFree
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8bca2
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] seq_read_iter
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] ksys_read
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] new_sync_read
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] vfs_read
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN16Item_change_list26rollback_item_tree_changesEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN14Explain_selectD0Ev
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10Item_field7val_intEv
     0.00%     0.00%  kworker/14:2-ev  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] sched_clock
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZThn136_N12Item_splocal14append_for_logEP3THDP6String
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ab81e6
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d39e87
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] bvec_free
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da1ebf
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] nvme_error_status
     0.00%     0.00%  kworker/21:2     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] page_remove_rmap
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d68051
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] pagevec_move_tail_fn.part.0
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] check_vma_flags
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001afb0
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] proc_reg_read_iter
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] do_syscall_64
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __list_del_entry_valid
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c86102
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/9:0      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN18st_select_lex_unit21reinit_exec_mechanismEv
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/31:1-mm  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d29863
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c4b151
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] rcu_pending
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] dma_unmap_sg_attrs
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] cpuacct_account_field
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] link_path_walk.part.0
     0.00%     0.00%  kworker/14:2-ev  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d728fd
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         [vdso]                    [.] 0x00000000000007f1
     0.00%     0.00%  mariadbd         libpthread-2.28.so        [.] _pthread_cleanup_pop
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] arch_scale_freq_tick
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ext4_alloc_file_blocks.isra.0
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] my_net_read_packet
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000252d6
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d920b2
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001ab24
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] __list_add_valid
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] up_read
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]         [k] aio_complete_rw
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] jbd2_block_tag_csum_set
     0.00%     0.00%  mariadbd         libc-2.28.so              [.] __libc_enable_asynccancel
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN17Item_result_field7cleanupEv
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] ext4_es_free_extent
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9c25c
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] submit_bh_wbc
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  kworker/28:1     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000022ded
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] swap_slot_free_notify
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  kworker/21:2     [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/21:2     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] can_migrate_task.part.0
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN4JOIN20get_best_combinationEv
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ksm_might_need_to_copy
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] run_posix_cpu_timers
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d1bf91
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __blk_mq_get_tag
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN17Virtual_tmp_table3addER4ListI16Spvar_definitionE
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] ext4_da_write_begin
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] rb_erase
     0.00%     0.00%  mariadbd         libpthread-2.28.so        [.] __errno_location
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0117
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d70e71
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] rwsem_optimistic_spin
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] tag_pages_for_writeback
     0.00%     0.00%  kworker/14:2-ev  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f7fe
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] blk_mq_tag_to_rq
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da1290
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ext4_cache_extents
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000025671
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] can_migrate_task
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001773e
     0.00%     0.00%  kworker/u64:39-  [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] mempool_free
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] should_fail_bio
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da210e
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000020a2b
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca420c
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/28:1     [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca3f88
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d39e78
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9f159
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] is_cpu_allowed
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] sched_clock
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __mem_cgroup_threshold
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] memcg_alloc_page_obj_cgroups
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d77431
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] crc32c_pcl_intel_update
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] PageHuge
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d2978a
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/28:1     [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] blk_integrity_merge_bio
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] raw_spin_rq_unlock
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] ext4_es_cache_extent
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000eb5960
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] acct_account_cputime
     0.00%     0.00%  mariadbd         mariadbd                  [.] _Z18check_table_accessP3THD11privilege_tP10TABLE_LISTbjb
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] uncharge_page
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000017b7b
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000a95510
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da03d8
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c35fe9
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] free_unref_page_commit.constprop.0
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] xas_alloc
     0.00%     0.00%  kworker/22:2-ev  [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __list_add_valid
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] __xa_clear_mark
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] sched_clock_idle_wakeup_event
     0.00%     0.00%  kworker/24:2-mm  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10Item_field13save_in_fieldEP5Fieldb
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] PageHuge
     0.00%     0.00%  irqbalance       [kernel.kallsyms]         [k] show_interrupts
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] ext4_end_bio
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN7handler21multi_range_read_nextEPPv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d298b8
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN13st_select_lex7cleanupEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d72eac
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_latency_qos_limit
     0.00%     0.00%  mariadbd         mariadbd                  [.] my_interval_timer
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] ktime_get
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da18be
     0.00%     0.00%  tclsh8.6         libmariatcl0.1.so         [.] Mariatcl_Exec
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000022d29
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] follow_trans_huge_pmd
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN7MDL_map14find_or_insertEP7LF_PINSPK7MDL_key
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9c0d5
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] __mod_zone_page_state
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] ext4_finish_bio
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] ll_back_merge_fn
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cd0133
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] get_timespec64
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] net_rx_action
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] mem_cgroup_uncharge_list
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] ttwu_queue_wakelist
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] anon_vma_interval_tree_iter_first
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] io_submit_init_bio
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __kmalloc_node
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10DsMrr_impl20close_second_handlerEv
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] new_sync_write
     0.00%     0.00%  kworker/16:1-ev  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  kworker/25:1-mm  [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] bio_put
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0110
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] swap_page_sector
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] __wake_up_common
     0.00%     0.00%  mariadbd         mariadbd                  [.] _Z15ha_commit_transP3THDb
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __fdget
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/17:1-mm  [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  kworker/19:0     [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  kworker/0:6      [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] skb_free_head
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN16Lex_input_stream13lex_one_tokenEP7YYSTYPEP3THD
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __blk_mq_free_request
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] rcu_irq_enter
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001aa68
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] rcu_gp_kthread
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c83a4c
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK10Field_long12type_handlerEv
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] __wake_up_common_lock
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] mem_cgroup_update_tree
     0.00%     0.00%  kworker/24:2-mm  [kernel.kallsyms]         [k] __schedule
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]         [k] process_one_work
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] ghes_poll_func
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] autoremove_wake_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN4JOIN7prepareEP10TABLE_LISTP4ItemjP8st_orderbS5_S3_S5_P13st_select_lexP18st_select_lex_unit
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] first_iovec_segment
     0.00%     0.00%  kworker/12:0     [kernel.kallsyms]         [k] schedule
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] worker_thread
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] kthread
