# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6813778094965
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    68.66%     0.02%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    68.66%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    68.58%     0.06%  swapper          [kernel.kallsyms]  [k] do_idle
    67.99%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    65.50%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    65.45%     0.05%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    61.69%    61.43%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     8.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     8.32%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.03%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] __x64_sys_fadvise64
     8.03%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] generic_fadvise
     8.03%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] ksys_fadvise64_64
     7.87%     0.03%  NonPeriodicTask  [kernel.kallsyms]  [k] __invalidate_mapping_pages
     7.25%     7.16%  NonPeriodicTask  [kernel.kallsyms]  [k] find_lock_entries
     7.20%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] invalidate_mapping_pages
     3.72%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     3.72%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     3.70%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     3.68%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     3.65%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     3.37%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     3.35%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     3.27%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.19%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.16%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] do_syscall_64
     3.12%     3.06%  swapper          [kernel.kallsyms]  [k] poll_idle
     2.81%     1.86%  Native-Transpor  [kernel.kallsyms]  [k] __x64_sys_futex
     2.80%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     2.80%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     2.80%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     2.80%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     2.80%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     2.78%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     2.58%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     2.56%     0.06%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     2.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_syscall_64
     2.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.06%     0.00%  swapper          [kernel.kallsyms]  [k] schedule_idle
     2.03%     1.50%  swapper          [kernel.kallsyms]  [k] __schedule
     2.00%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.92%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_futex
     1.92%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_futex
     1.91%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] futex_wake
     1.90%     0.02%  kswapd0          [kernel.kallsyms]  [k] native_flush_tlb_multi
     1.90%     0.00%  kswapd0          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     1.90%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap_flush
