# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 7222831906752
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    64.02%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    64.02%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    63.95%     0.17%  swapper          [kernel.kallsyms]  [k] do_idle
    62.43%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    61.11%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    61.08%     0.13%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    56.66%    54.56%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     6.58%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     6.58%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     6.58%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     6.58%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     6.58%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     6.50%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     4.85%     0.19%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     3.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] do_syscall_64
     3.58%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.54%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     3.53%     0.00%  kswapd1          [kernel.kallsyms]  [k] rmap_walk
     3.52%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     3.51%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     3.47%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     3.41%     0.09%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     3.22%     0.04%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     3.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
