# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 166341918442
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
    47.90%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    47.90%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    47.90%     0.03%  swapper          [kernel.kallsyms]  [k] do_idle
    47.54%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    47.53%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    47.10%    45.90%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    44.52%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    22.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    22.27%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    11.56%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
    11.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
    11.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
    11.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
    11.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
    11.56%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
    11.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
     8.90%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     8.90%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     8.89%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     8.89%     0.00%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     8.89%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     8.89%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     8.89%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     8.89%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     8.86%     1.40%  java             [kernel.kallsyms]  [k] unmap_page_range
     8.86%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     8.86%     0.00%  java             [kernel.kallsyms]  [k] mmput
     8.86%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     8.86%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     6.50%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     6.50%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     6.49%     0.06%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     6.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     6.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     6.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     6.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     6.45%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     5.93%     0.24%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     5.92%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     5.88%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     5.88%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     5.88%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     5.88%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     5.88%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     5.74%     0.04%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     5.67%     0.86%  java             [kernel.kallsyms]  [k] release_pages
     5.61%     0.08%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     5.21%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     5.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     4.76%     3.84%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     4.45%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     4.45%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     4.44%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] get_signal
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_exit
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     4.43%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] mmput
     4.39%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     4.39%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     4.34%     0.70%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
