# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12227789125795
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
    23.04%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    23.04%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    23.03%     0.01%  swapper          [kernel.kallsyms]   [k] do_idle
    22.92%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    22.92%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    22.78%    22.53%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    21.22%     0.15%  java             [kernel.kallsyms]   [k] asm_exc_page_fault
    20.99%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    20.13%     0.26%  java             [kernel.kallsyms]   [k] exc_page_fault
    18.07%     0.19%  java             [kernel.kallsyms]   [k] do_user_addr_fault
    13.93%     0.48%  java             [kernel.kallsyms]   [k] handle_mm_fault
    13.16%     0.15%  LocalJobRunner   [kernel.kallsyms]   [k] asm_exc_page_fault
    12.05%     2.83%  java             [kernel.kallsyms]   [k] __handle_mm_fault
    11.73%     0.09%  LocalJobRunner   [kernel.kallsyms]   [k] exc_page_fault
    11.14%     0.23%  LocalJobRunner   [kernel.kallsyms]   [k] do_user_addr_fault
    10.53%     0.27%  LocalJobRunner   [kernel.kallsyms]   [k] handle_mm_fault
     9.63%     1.10%  LocalJobRunner   [kernel.kallsyms]   [k] __handle_mm_fault
     9.54%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     9.54%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] do_syscall_64
     7.36%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     7.36%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] do_syscall_64
