# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 2034983726684
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    67.11%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    67.11%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    67.10%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    67.02%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    66.99%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    66.81%    61.74%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    58.72%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    21.91%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    21.91%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
    14.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
    14.64%     0.11%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
    13.27%     0.20%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
    12.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
    12.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
    12.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
    12.46%     0.17%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     8.89%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] workingset_refault
