# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_next_event
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_get_sleep_length
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] psi_group_change
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] psi_task_switch
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  kworker/8:1-mm_  [kernel.kallsyms]  [k] worker_thread
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_cancel
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_try_to_cancel.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_nohz_restart
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] _find_next_bit
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] intel_idle
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] ntp_tick_length
