# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 7786219861781
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
    73.92%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
    73.92%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
    73.88%     0.19%  swapper          [kernel.kallsyms]                   [k] do_idle
    72.54%     0.00%  swapper          [kernel.kallsyms]                   [k] start_secondary
    71.11%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
    71.07%     0.06%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
    67.28%    65.43%  swapper          [kernel.kallsyms]                   [k] mwait_idle_with_hints.constprop.0
     4.12%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] do_syscall_64
     4.12%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     3.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_fadvise64
     3.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] generic_fadvise
     3.52%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] ksys_fadvise64_64
     3.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     2.82%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_exc_page_fault
     2.80%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] exc_page_fault
     2.74%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] do_user_addr_fault
     2.66%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] handle_mm_fault
     2.63%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_mm_fault
     2.54%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     2.53%     2.36%  swapper          [kernel.kallsyms]                   [k] poll_idle
     2.52%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] do_syscall_64
     2.21%     1.97%  NonPeriodicTask  [kernel.kallsyms]                   [k] find_lock_entries
     2.10%     0.00%  kswapd1          [kernel.kallsyms]                   [k] balance_pgdat
     2.10%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kswapd
     2.10%     0.00%  kswapd1          [kernel.kallsyms]                   [k] kthread
     2.10%     0.00%  kswapd1          [kernel.kallsyms]                   [k] ret_from_fork
     2.10%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.10%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.10%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.10%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.10%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.07%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_fault
     2.07%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_fault
     2.06%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_node
     2.04%     0.03%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     2.04%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.99%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     1.96%     1.96%  swapper          [unknown]                           [.] 0000000000000000
     1.94%     0.00%  kswapd1          [kernel.kallsyms]                   [k] evict_pages
     1.94%     0.00%  kswapd1          [kernel.kallsyms]                   [k] shrink_lruvec
     1.92%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_futex
     1.80%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] do_futex
     1.80%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] do_page_cache_ra
     1.73%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pagevec
     1.71%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] invalidate_mapping_pages
     1.67%     0.10%  kswapd1          [kernel.kallsyms]                   [k] shrink_page_list
     1.55%     0.05%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.48%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait
     1.38%     0.00%  swapper          [kernel.kallsyms]                   [k] arch_call_rest_init
     1.38%     0.00%  swapper          [kernel.kallsyms]                   [k] rest_init
     1.38%     0.00%  swapper          [kernel.kallsyms]                   [k] start_kernel
     1.38%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_kernel
     1.38%     0.00%  swapper          [kernel.kallsyms]                   [k] x86_64_start_reservations
     1.27%     0.03%  swapper          [kernel.kallsyms]                   [k] schedule_idle
     1.26%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wait_queue_me
     1.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_syscall_64
     1.25%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     1.21%     0.17%  swapper          [kernel.kallsyms]                   [k] __schedule
     1.04%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] schedule
     1.00%     0.20%  Native-Transpor  [kernel.kallsyms]                   [k] __schedule
     0.93%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.93%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.93%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.89%     0.05%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.89%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.88%     0.20%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.87%     0.04%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     0.87%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
     0.87%     0.00%  swapper          [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.83%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                   [k] futex_wake
     0.83%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_futex
     0.83%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_futex
     0.81%     0.02%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.77%     0.76%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.76%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
