# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12406953077189
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    28.70%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    28.70%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    28.69%     0.01%  swapper          [kernel.kallsyms]     [k] do_idle
    28.54%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    28.54%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    28.37%    27.31%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    26.21%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    23.54%     0.16%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    22.42%     0.35%  java             [kernel.kallsyms]     [k] exc_page_fault
    19.72%     0.19%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    13.76%     0.69%  java             [kernel.kallsyms]     [k] handle_mm_fault
    11.91%     3.38%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    10.64%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     9.47%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
     9.46%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     9.46%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
     8.94%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
     8.42%     0.28%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
     7.70%     1.01%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
     5.38%     0.08%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     5.04%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     5.04%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] do_syscall_64
     4.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     4.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     4.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     4.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     4.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     4.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_read
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ksys_read
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] vfs_read
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] new_sync_read
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.71%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] generic_file_read_iter
     4.71%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] filemap_read
     4.71%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     4.66%     0.39%  java             [kernel.kallsyms]     [k] migrate_pages
     4.65%     4.61%  java             [kernel.kallsyms]     [k] down_read_trylock
     4.50%     4.47%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     4.47%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     4.46%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     3.65%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.64%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     3.62%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     3.60%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     3.59%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     3.49%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     3.49%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     3.48%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     3.42%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     3.28%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     2.99%     2.79%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     2.97%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] do_syscall_64
     2.97%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] __x64_sys_write
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ksys_write
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] vfs_write
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.95%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     2.95%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     2.83%     1.27%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     2.59%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     2.57%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     2.48%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     2.48%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     2.48%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     2.48%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     2.48%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     2.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     2.39%     2.38%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     2.26%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     2.19%     2.17%  java             [kernel.kallsyms]     [k] up_read
     1.95%     0.18%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.78%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.77%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.74%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     1.68%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     1.67%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.66%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     1.60%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     1.55%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     1.54%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     1.53%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     1.50%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
