# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 692K of event 'cycles'
# Event count (approx.): 25203436475488
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    25.33%     0.17%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    25.26%     0.13%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    25.16%     0.01%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    25.15%     0.04%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    25.13%     0.14%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    24.66%     0.05%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    24.55%     0.14%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    20.10%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    19.96%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    17.29%     0.08%  memcached        [kernel.kallsyms]      [k] do_swap_page
    16.26%     0.04%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    16.10%     0.05%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    15.89%     0.08%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    15.84%     0.07%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    15.84%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    15.80%     0.07%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    15.76%     0.26%  swapper          [kernel.kallsyms]      [k] do_idle
    15.72%     0.14%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    13.55%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    11.33%     0.07%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
    11.23%     0.04%  memcached        [kernel.kallsyms]      [k] __alloc_pages
    10.97%     0.02%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
    10.85%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
    10.85%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
    10.85%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
    10.85%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
    10.85%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
    10.82%     0.00%  memcached        [kernel.kallsyms]      [k] lru_gen_shrink_lruvec
    10.78%     0.01%  memcached        [kernel.kallsyms]      [k] evict_pages
    10.65%     0.16%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
    10.29%     0.02%  memcached        [kernel.kallsyms]      [k] shrink_page_list
     9.36%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
     9.26%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
     9.15%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
     8.94%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
     8.89%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
     8.83%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     8.60%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     8.57%     0.15%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     7.76%     0.01%  memcached        [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     7.75%     3.46%  memcached        [kernel.kallsyms]      [k] smp_call_function_many_cond
     7.21%     0.03%  memcached        [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     7.05%     0.10%  memcached        [kernel.kallsyms]      [k] _copy_from_iter
     7.03%     1.57%  memcached        [kernel.kallsyms]      [k] copy_user_generic_string
     6.61%     0.15%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     6.46%     0.05%  memcached        [kernel.kallsyms]      [k] wp_page_copy
     6.34%     6.34%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     5.92%     0.03%  memcached        [kernel.kallsyms]      [k] zram_rw_page
     5.75%     0.16%  memcached        [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     5.50%     1.28%  memcached        [kernel.kallsyms]      [k] asm_sysvec_call_function
     5.09%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     5.03%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     5.00%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     4.92%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     4.82%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     4.76%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     4.75%     0.01%  memcached        [kernel.kallsyms]      [k] arch_tlbbatch_flush
     4.70%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     4.50%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     4.40%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
     4.37%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
     4.32%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     4.26%     0.07%  memcached        [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     4.24%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     4.24%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     4.24%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     4.24%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     4.22%     0.02%  memcached        [kernel.kallsyms]      [k] sock_alloc_send_pskb
     4.19%     0.06%  memcached        [kernel.kallsyms]      [k] do_epoll_wait
     4.19%     0.04%  memcached        [kernel.kallsyms]      [k] sysvec_call_function
