# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6983414561021
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    36.40%     0.37%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    33.96%     0.49%  java             [kernel.kallsyms]     [k] exc_page_fault
    30.65%     0.51%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    24.28%     1.21%  java             [kernel.kallsyms]     [k] handle_mm_fault
    20.57%     5.27%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    20.03%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    20.01%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    10.20%     0.16%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     9.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
     9.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
     9.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
     9.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
     9.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
     9.71%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     9.68%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     9.47%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
     9.18%     0.75%  java             [kernel.kallsyms]     [k] migrate_pages
     9.06%     8.73%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     8.68%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     8.68%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     8.68%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     8.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     8.67%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
